City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.7193,8.7815,25.98,89,40,1.54,GA,1675812792
1,upernavik,72.7868,-56.1549,-29.67,98,73,1.32,GL,1675812793
2,portland,45.5234,-122.6762,9.99,94,100,3.58,US,1675812187
3,te anau,-45.4167,167.7167,13.8,44,55,5.0,NZ,1675812794
4,jardim,-21.4803,-56.1381,21.8,97,82,1.82,BR,1675812797
5,maldonado,-34.6667,-54.9167,24.66,64,20,5.5,UY,1675812528
6,oranjemund,-28.55,16.4333,17.51,91,81,6.63,NA,1675812801
7,new norfolk,-42.7826,147.0587,16.51,42,8,0.69,AU,1675812804
8,lompoc,34.6391,-120.4579,21.5,65,40,3.6,US,1675812806
9,chino valley,34.7575,-112.4538,12.08,22,0,4.63,US,1675812683
10,kapaa,22.0752,-159.319,27.18,85,100,5.66,US,1675812744
11,steenwijk,52.7875,6.1208,-0.05,63,8,0.45,NL,1675812807
12,tres arroyos,-38.3739,-60.2798,23.67,60,2,3.82,AR,1675812809
13,saskylakh,71.9167,114.0833,-34.15,99,99,0.71,RU,1675812812
14,east london,-33.0153,27.9116,21.69,86,100,5.63,ZA,1675812812
15,atuona,-9.8,-139.0333,25.86,78,13,6.68,PF,1675812610
16,vaini,-21.2,-175.2,26.09,100,75,4.63,TO,1675812817
17,busselton,-33.65,115.3333,20.08,68,26,4.5,AU,1675812818
18,puerto ayora,-0.7393,-90.3518,26.97,89,31,3.13,EC,1675812826
19,provideniya,64.3833,-173.3,-18.94,71,100,5.0,RU,1675812829
20,bengkulu,-3.8004,102.2655,23.79,80,92,2.35,ID,1675812830
21,paamiut,61.994,-49.6678,-18.5,86,99,4.93,GL,1675812830
22,makakilo city,21.3469,-158.0858,28.18,69,75,6.69,US,1675812831
23,bathsheba,13.2167,-59.5167,26.34,73,40,6.69,BB,1675812831
24,sobolevo,54.4299,31.8996,-15.36,99,65,1.39,RU,1675812832
25,urengoy,65.9667,78.3667,-30.87,100,97,1.77,RU,1675812832
26,butaritari,3.0707,172.7902,27.27,80,100,9.84,KI,1675812833
27,melfort,52.8667,-104.6177,2.07,64,8,7.2,CA,1675812833
28,ushuaia,-54.8,-68.3,12.81,44,0,1.54,AR,1675812834
29,waterbury,41.5582,-73.0515,2.53,69,0,2.57,US,1675812742
30,mataura,-46.1927,168.8643,11.38,71,68,4.82,NZ,1675812834
31,klaksvik,62.2266,-6.589,8.51,83,100,25.02,FO,1675812835
32,sao filipe,14.8961,-24.4956,20.33,65,4,4.45,CV,1675812835
33,rikitea,-23.1203,-134.9692,26.44,70,84,5.01,PF,1675812836
34,huarmey,-10.0681,-78.1522,23.22,78,13,3.43,PE,1675812836
35,wrentham,42.0668,-71.3281,1.48,71,0,2.24,US,1675812661
36,santa cruz cabralia,-16.2781,-39.0247,26.13,83,20,3.09,BR,1675812837
37,camacha,33.0833,-16.3333,13.68,72,75,5.66,PT,1675812837
38,port alfred,-33.5906,26.891,20.66,92,100,1.79,ZA,1675812838
39,prince rupert,54.3161,-130.3201,4.05,87,100,14.92,CA,1675812838
40,kindu,-2.95,25.95,21.91,90,92,0.66,CD,1675812839
41,pisco,-13.7,-76.2167,25.03,73,0,8.75,PE,1675812839
42,stromness,58.965,-3.296,3.98,69,36,12.4,GB,1675812840
43,samoded,63.6083,40.5111,0.6,91,100,5.25,RU,1675812841
44,sivaki,52.6333,126.75,-35.03,98,24,1.15,RU,1675812544
45,jamestown,42.097,-79.2353,9.77,72,40,4.63,US,1675812585
46,erzin,36.9559,36.2,1.22,61,49,2.32,TR,1675812842
47,albany,42.6001,-73.9662,3.03,53,100,2.24,US,1675812590
48,yulara,-25.2406,130.9889,32.1,23,0,3.35,AU,1675812843
49,camden,39.7835,-74.9663,5.97,73,100,0.45,US,1675812657
50,lebu,-37.6167,-73.65,15.42,88,0,7.7,CL,1675812844
51,ndjole,-0.1783,10.7649,23.87,97,56,0.84,GA,1675812845
52,tuy hoa,13.0833,109.3,22.84,91,40,1.28,VN,1675812845
53,pangnirtung,66.1451,-65.7125,-35.0,68,0,2.57,CA,1675812846
54,san jeronimo,-11.9472,-75.2829,11.3,77,58,2.61,PE,1675812847
